displayName,positionTyped,score,0,mins_played,yellow_card,fouls,was_fouled,error_lead_to_shot,double_double,triple_double,triple_triple,poss_lost_ctrl,duel_lost,duel_won,interception_won,big_chance_created,adjusted_total_att_assist,accurate_pass,successful_final_third_passes,ontarget_scoring_att,won_contest,pen_area_entries,penalty_kick_missed,big_chance_missed,saves,saved_ibox,good_high_claim,punches,dive_save,dive_catch,cross_not_claimed,six_second_violation,gk_smother,accurate_keeper_sweeper,goals_conceded,accurate_long_balls,missed_pass,clean_sheet_60,effective_clearance,won_tackle,blocked_cross,outfielder_block,poss_won,long_pass_own_to_opp_success,totalScore
Serhou Guirassy,Forward,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
Jens Grahl,Goalkeeper,0.0,,0.0,0.0,0.0,,0.0,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
Andrej Kramarić,Forward,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
Dayot Upamecano,Defender,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Alejandro Grimaldo,Defender,49.7,,0.0,0.0,-2.0,,0.0,0.0,0.0,0.0,-6.6,-6.0,6.0,3.0,0.0,3.0,3.2,5.6,0.0,0.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,-1.0,0.0,1.5,6.0,0.0,0.0,2.5,0.0,
Nico Schlotterbeck,Defender,47.6,,0.0,0.0,-4.0,,0.0,0.0,0.0,0.0,-4.2,-10.0,4.5,3.0,0.0,0.0,8.7,4.8,0.0,0.0,0.5,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.0,4.5,-1.2,0.0,1.0,3.0,0.0,2.0,6.0,11.0,
Minjae Kim ,Defender,68.3,,0.0,0.0,-2.0,,0.0,0.0,0.0,0.0,-4.2,-6.0,10.5,0.0,0.0,0.0,6.5,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.4,10.0,1.0,0.0,0.0,0.0,3.5,7.0,
Leroy Sané,Forward,100.0,,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,-1.6,-7.0,4.0,0.0,9.0,10.0,3.3,1.8,9.0,1.0,5.5,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
Timothy Chandler,Midfielder,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,
Vincenzo Grifo,Midfielder,65.6,,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,-3.5,-0.8,2.4,0.0,3.0,0.0,1.3,0.9,0.0,0.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,1.0,-1.2,,,3.0,0.0,0.0,1.0,,
Ellyes Skhiri,Midfielder,72.1,,0.0,0.0,-1.0,2.0,0.0,0.0,0.0,0.0,-6.0,-2.4,5.6,3.0,3.0,4.0,3.4,1.8,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,0.5,-3.3,,,3.0,0.0,0.0,3.5,,
Matthias Ginter,Defender,36.8,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-6.6,-10.0,10.5,0.0,0.0,0.0,2.6,2.4,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,1.0,-1.6,0.0,2.5,3.0,0.0,0.0,2.5,1.5,
Kingsley Coman,Forward,73.0,,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-0.9,-2.0,6.0,0.0,3.0,2.0,2.5,0.9,0.0,1.5,2.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
Harry Kane,Forward,100.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.1,-2.0,3.0,0.0,3.0,2.0,1.3,0.9,15.0,0.5,2.5,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
Omar Marmoush,Forward,70.0,,0.0,-3.0,-1.0,4.0,0.0,0.0,0.0,0.0,-1.8,-9.0,5.0,0.0,0.0,0.0,1.3,0.6000000000000001,6.0,0.5,1.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
Julian Brandt,Midfielder,65.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.8,0.0,0.0,0.0,1.2,0.6000000000000001,3.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.5,-0.6000000000000001,,,3.0,0.0,0.0,0.5,,
Gregor Kobel,Goalkeeper,41.2,,0.0,0.0,0.0,,0.0,,,,-0.30000000000000004,,,,0.0,0.0,0.5,0.0,0.0,,,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,0.2,-0.2,,,,,,,,
Wooyeong Jeong,Midfielder,32.5,,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.5,-2.4,0.0,3.0,0.0,4.0,1.8,2.7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6000000000000001,,,0.0,0.0,0.0,0.5,,
Moritz Jenz,Defender,33.1,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-4.2,-8.0,4.5,3.0,0.0,0.0,4.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.0,1.5,-0.8,0.0,2.5,0.0,0.0,0.0,1.0,5.0,
Tobias Kempe,Midfielder,47.4,,0.0,0.0,-1.0,2.0,0.0,0.0,0.0,0.0,-2.5,-2.4,3.2,3.0,0.0,2.0,1.7000000000000002,0.6000000000000001,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,1.5,-1.2,,,6.0,1.0,1.0,2.5,,
Jan-Niklas Beste,Midfielder,35.3,,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,-5.0,-4.0,0.8,0.0,0.0,4.0,1.2,0.9,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.5,-0.6000000000000001,,,0.0,0.0,0.0,1.5,,
Noussair Mazraoui,Defender,100.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-7.2,-2.0,6.0,3.0,6.0,0.0,4.3,8.4,0.0,0.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-1.4,10.0,0.5,0.0,0.0,0.0,3.5,1.5,
Edimilson Fernandes,Defender,29.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-0.6000000000000001,0.0,0.0,0.0,0.0,3.0,0.2,0.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Chris Führich,Midfielder,73.9,,0.0,-3.0,-1.0,0.0,0.0,0.0,0.0,0.0,-8.5,-5.6,6.4,0.0,0.0,6.0,4.6,8.7,3.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,1.0,-1.2,,,0.0,0.0,0.0,2.5,,
Jonas Wind,Forward,66.2,,0.0,0.0,-1.5,3.0,0.0,0.0,0.0,0.0,-0.7000000000000001,-5.0,3.0,0.0,0.0,0.0,1.0,0.4,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
Willian Pacho,Defender,30.4,,0.0,-3.0,0.0,,0.0,0.0,0.0,0.0,-5.4,-2.0,3.0,3.0,0.0,0.0,3.0,0.4,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.0,0.0,-1.6,0.0,1.0,3.0,2.0,0.0,2.5,1.0,
Marvin Ducksch,Forward,69.9,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.4,-3.0,3.0,0.0,0.0,2.0,1.6,0.7000000000000001,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
Maximilian Beier,Forward,61.7,,0.0,0.0,-0.5,1.0,0.0,0.0,0.0,0.0,-0.4,-1.0,1.0,0.0,0.0,0.0,0.5,0.1,6.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
Joshua Kimmich,Midfielder,11.3,,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-0.5,-2.4,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,
Waldemar Anton,Defender,63.9,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-6.6,0.0,10.5,3.0,0.0,0.0,6.6,4.4,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.0,2.5,-2.0,0.0,2.5,3.0,0.0,0.0,3.5,10.5,
Edmond Tapsoba,Defender,49.7,,0.0,0.0,-2.0,,-5.0,0.0,0.0,0.0,-4.8,-12.0,7.5,0.0,0.0,0.0,8.4,10.4,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,1.5,-0.8,0.0,3.0,0.0,0.0,2.0,3.0,5.5,
Danilo Soares,Defender,40.0,,0.0,0.0,-4.0,,0.0,0.0,0.0,0.0,-13.2,-18.0,15.0,12.0,0.0,0.0,2.4,4.4,0.0,1.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,0.0,-2.6,0.0,0.5,3.0,1.0,0.0,5.0,2.0,
Alexander Nübel,Goalkeeper,15.1,,0.0,0.0,0.0,,0.0,,,,-0.9,,,,0.0,0.0,2.0,0.0,0.0,,,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,0.6000000000000001,-0.6000000000000001,,,,,,,,
Xaver Schlager,Midfielder,44.4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.8,0.0,0.0,0.0,4.7,2.4,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,-1.5,,,0.0,1.0,0.0,4.0,,
Brajan Gruda,Forward,41.4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9,-6.0,3.0,3.0,0.0,2.0,1.0,0.30000000000000004,0.0,1.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
Emre Can,Midfielder,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,
Atakan Karazor,Midfielder,33.3,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-4.0,-3.2,2.4,0.0,0.0,0.0,4.4,2.7,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,0.0,-1.5,,,0.0,0.0,0.0,2.0,,
Jeremie Frimpong,Defender,60.0,,0.0,0.0,-4.0,,0.0,0.0,0.0,0.0,-9.6,-14.0,7.5,0.0,0.0,0.0,1.9,3.2,0.0,1.5,0.5,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,-1.6,0.0,0.5,0.0,0.0,0.0,1.5,0.5,
Jamal Musiala,Midfielder,92.5,,0.0,0.0,-2.0,1.0,0.0,0.0,0.0,0.0,-3.5,-4.8,2.4,3.0,6.0,6.0,3.5,6.3,6.0,0.5,1.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9,,,0.0,1.0,0.0,2.0,,
Michael Zetterer,Goalkeeper,76.4,,0.0,0.0,0.0,,0.0,,,,-1.8,,,,0.0,0.0,2.1,0.0,0.0,,,0.0,0.0,4.0,4.0,1.5,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,1.8,-1.2,,,,,,,,
Ermedin Demirović,Forward,39.8,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.1,-3.0,5.0,0.0,0.0,0.0,0.9,0.5,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
Florian Neuhaus,Midfielder,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,
Matthias Bader,Defender,19.6,,0.0,-3.0,-6.0,,0.0,0.0,0.0,0.0,-6.6,-12.0,18.0,3.0,0.0,6.0,2.6,4.0,0.0,1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-32.0,1.0,-1.4,0.0,0.0,3.0,0.0,0.0,4.5,0.0,
Jonas Hofmann,Midfielder,72.0,,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,-9.0,-4.0,0.8,0.0,0.0,6.0,4.5,6.3,3.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,1.0,-2.1,,,0.0,0.0,0.0,1.0,,
Tuta,Defender,30.6,,0.0,0.0,-4.0,,0.0,4.0,0.0,0.0,-9.6,-16.0,6.0,6.0,0.0,0.0,2.7,2.4,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.0,1.5,-2.4,0.0,1.5,6.0,1.0,0.0,5.0,1.5,
Leandro Barreiro,Midfielder,56.9,,0.0,-3.0,-2.0,1.0,0.0,4.0,0.0,0.0,-5.5,-4.8,7.2,15.0,0.0,2.0,3.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,1.0,-2.7,,,3.0,0.0,2.0,4.5,,
Florian Wirtz,Midfielder,92.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.5,-7.2,3.2,0.0,3.0,4.0,4.9,6.6,9.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,-1.5,,,3.0,0.0,0.0,4.0,,
Jeff Chabot,Defender,25.0,,0.0,-3.0,-2.0,,0.0,0.0,0.0,0.0,-2.4,-2.0,1.5,3.0,0.0,0.0,1.7000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.0,0.5,-0.8,0.0,2.0,3.0,0.0,2.0,2.0,0.5,
Castello Lukeba,Defender,64.9,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-3.6,-2.0,4.5,0.0,0.0,0.0,6.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,-1.2,10.0,1.0,0.0,0.0,0.0,3.5,8.0,
Koen Casteels,Goalkeeper,0.0,,0.0,0.0,0.0,,0.0,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
Konrad Laimer,Midfielder,75.9,,0.0,0.0,-2.0,1.0,0.0,0.0,0.0,0.0,-2.0,-3.2,2.4,0.0,3.0,2.0,5.7,5.1,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.6000000000000001,,,0.0,0.0,1.0,2.5,,
Franck Honorat,Midfielder,38.4,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-11.5,-0.8,3.2,0.0,0.0,6.0,2.2,2.4,0.0,0.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,-3.6,,,0.0,0.0,0.0,1.5,,
Grischa Prömel,Midfielder,62.8,,0.0,0.0,-4.0,1.0,0.0,0.0,0.0,0.0,-2.5,-5.6,3.2,0.0,0.0,0.0,2.0,1.8,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,-0.6000000000000001,,,6.0,0.0,0.0,2.5,,
Anton Stach,Midfielder,53.8,,0.0,0.0,-2.0,3.0,0.0,0.0,6.0,0.0,-6.5,-3.2,9.6,9.0,0.0,2.0,1.7000000000000002,1.2,0.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.5,-3.0,,,6.0,0.0,0.0,6.0,,
Sheraldo Becker,Forward,41.4,,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.6,-4.0,4.0,0.0,0.0,2.0,2.0,1.0,0.0,1.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
Robin Knoche,Defender,21.7,,0.0,0.0,-2.0,,0.0,0.0,0.0,0.0,-4.2,-4.0,4.5,0.0,0.0,0.0,3.9,1.2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,2.0,-1.2,0.0,1.0,9.0,0.0,0.0,1.0,3.0,
Felix Nmecha,Midfielder,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,
Josuha Guilavogui,Midfielder,31.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,-2.4,1.6,3.0,0.0,0.0,0.8,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.5,-0.6000000000000001,,,3.0,0.0,1.0,2.5,,
Angelo Stiller,Midfielder,71.5,,0.0,0.0,-2.0,0.0,0.0,4.0,0.0,0.0,-3.0,-4.8,3.2,9.0,0.0,6.0,8.0,7.8,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,3.0,-1.2,,,6.0,0.0,0.0,2.5,,
Jonathan Tah,Defender,67.4,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-4.2,0.0,9.0,0.0,0.0,3.0,7.7,4.8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,-1.4,0.0,3.0,3.0,0.0,0.0,3.0,7.5,
Amine Adli,Forward,24.1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-1.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
Granit Xhaka,Midfielder,44.0,,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,-6.0,-3.2,4.0,0.0,0.0,0.0,9.0,6.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.5,-3.3,,,0.0,0.0,1.0,2.5,,
Florian Kainz,Midfielder,30.9,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-2.5,-0.8,1.6,0.0,0.0,0.0,1.6,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,0.0,-1.2,,,3.0,0.0,0.0,0.0,,
Fares Chaïbi,Midfielder,60.0,,0.0,0.0,-2.0,1.0,0.0,0.0,0.0,0.0,-6.0,-4.0,1.6,0.0,3.0,2.0,1.7000000000000002,2.7,3.0,0.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,0.5,-2.4,,,0.0,0.0,0.0,1.5,,
Manuel Riemann,Goalkeeper,30.6,,0.0,0.0,0.0,,0.0,,,,-10.2,,,,0.0,0.0,2.9,2.5,0.0,,,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-6.0,3.2,-6.8,,,,,,,,
Maximilian Wöber,Defender,69.9,,0.0,0.0,0.0,,0.0,4.0,0.0,0.0,-4.8,0.0,7.5,0.0,0.0,0.0,6.2,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,2.5,-1.6,0.0,2.5,6.0,0.0,6.0,4.0,5.0,
Pascal Stenzel,Defender,43.2,,0.0,0.0,-4.0,,0.0,0.0,0.0,0.0,-4.8,-8.0,4.5,0.0,0.0,9.0,3.8,8.0,0.0,0.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.0,4.5,-0.8,0.0,0.0,0.0,0.0,0.0,2.5,2.0,
Enzo Millot,Midfielder,51.6,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-10.0,-3.2,4.8,3.0,0.0,2.0,6.6,7.8,3.0,1.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,1.0,-2.4,,,0.0,0.0,0.0,2.5,,
Robert Skov,Forward,71.9,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.6000000000000001,-6.0,9.0,3.0,0.0,0.0,1.2,0.30000000000000004,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
Victor Boniface,Forward,47.2,,0.0,0.0,-0.5,1.0,0.0,0.0,0.0,0.0,-1.3,-9.0,8.0,0.0,0.0,8.0,2.1,1.4,0.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
Davie Selke,Forward,35.7,,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,-0.1,-1.0,3.0,0.0,0.0,0.0,1.1,0.2,3.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
